stack,trend_lift,weighted_score,epoch2_count,baseline_count,epoch2_share,baseline_share
SCI_FI_ROMANCE + SHIFTER_WEREWOLF,0.1,0.14,3,2147,0.1216,1.1807
HIGH_STEAM + WITCHES_MAGIC,0.07,0.14,6,6257,0.2432,3.441
DEMONS_ANGELS + VAMPIRES,0.08,0.13,4,3754,0.1621,2.0645
BILLIONAIRE + MYSTERY_THRILLER_SUSPENSE,0.1,0.13,3,2281,0.1216,1.2544
ANGSTY_GRIEF + FOUND_FAMILY,0.08,0.12,4,3902,0.1621,2.1459
HIGH_STEAM + VAMPIRES,0.06,0.11,5,5866,0.2027,3.2259
ACTION_ADVENTURE + FOUND_FAMILY,0.08,0.11,3,2715,0.1216,1.4931
LAW_ENFORCEMENT + MYSTERY_THRILLER_SUSPENSE,0.08,0.11,3,2905,0.1216,1.5976
ANGSTY_GRIEF + YOUNG_ADULT,0.06,0.09,4,5213,0.1621,2.8668
ACTION_ADVENTURE + HIGH_STEAM,0.04,0.07,5,9251,0.2027,5.0875
BILLIONAIRE + NEW_ADULT,0.05,0.06,3,4830,0.1216,2.6562
FOUND_FAMILY + NEW_ADULT,0.04,0.06,4,7348,0.1621,4.0409
