stack,trend_lift,weighted_score,epoch3_count,baseline_count,epoch3_share,baseline_share
SPORTS_FOOTBALL + SPORTS_GENERAL,2.19,5.24,10,1120,1.3459,0.6159
CONTEMPORARY_ROMANCE + REP_CULTURAL_IDENTITY,2.89,5.18,5,423,0.6729,0.2326
ACADEMIA_SCHOOL + VAMPIRES,3.63,5.04,3,202,0.4038,0.1111
CONTEMPORARY_ROMANCE + SECOND_CHANCE,1.28,5.02,49,9351,6.5949,5.1425
SCI_FI_ROMANCE + YOUNG_ADULT,1.84,4.86,13,1728,1.7497,0.9503
MYSTERY_THRILLER_SUSPENSE + SLOW_BURN,2.71,4.86,5,451,0.6729,0.248
HIGH_STEAM + SLOW_BURN,2.2,4.84,8,889,1.0767,0.4889
FANTASY_ROMANCE + HOLIDAY,2.17,4.76,8,903,1.0767,0.4966
MONSTER_ALIEN + PARANORMAL_ROMANCE,1.74,4.7,14,1974,1.8843,1.0856
CONTEMPORARY_ROMANCE + FAIRY_TALE_RETELLING,2.57,4.6,5,477,0.6729,0.2623
ENEMIES_TO_LOVERS + MAFIA_CARTEL_CRIME,2.85,4.59,4,343,0.5384,0.1886
ENEMIES_TO_LOVERS + VAMPIRES,2.53,4.54,5,483,0.6729,0.2656
REP_QUEER_GENERAL + SCI_FI_ROMANCE,1.88,4.51,10,1300,1.3459,0.7149
HISTORICAL_ROMANCE + SLOW_BURN,3.23,4.48,3,227,0.4038,0.1248
ACADEMIA_SCHOOL + SPORTS_HOCKEY,3.18,4.41,3,231,0.4038,0.127
HOLIDAY + PARANORMAL_ROMANCE,2.0,4.39,8,981,1.0767,0.5395
DARK_ROMANCE + HORROR,2.03,4.22,7,845,0.9421,0.4647
ACADEMIA_SCHOOL + SLOW_BURN,3.02,4.19,3,243,0.4038,0.1336
FAIRY_TALE_RETELLING + YOUNG_ADULT,2.33,4.18,5,525,0.6729,0.2887
HOLIDAY + YOUNG_ADULT,2.31,4.14,5,529,0.6729,0.2909
COWBOY_WESTERN + MYSTERY_THRILLER_SUSPENSE,2.54,4.09,4,385,0.5384,0.2117
CONTEMPORARY_ROMANCE + FIREFIGHTER_FIRST_RESPONDER,2.07,4.02,6,710,0.8075,0.3905
ACADEMIA_SCHOOL + DARK_ROMANCE,1.74,4.0,9,1267,1.2113,0.6968
FAE_ELVES + REP_QUEER_GENERAL,2.87,3.98,3,256,0.4038,0.1408
NEURODIVERGENT_DISABILITY + YOUNG_ADULT,2.21,3.96,5,554,0.6729,0.3047
ENEMIES_TO_LOVERS + MARRIAGE_OF_CONVENIENCE,2.19,3.92,5,559,0.6729,0.3074
FANTASY_ROMANCE + HORROR,1.47,3.77,12,1998,1.6151,1.0988
FAE_ELVES + REP_MM,2.67,3.7,3,275,0.4038,0.1512
CONTEMPORARY_ROMANCE + HOLIDAY,1.15,3.66,23,4887,3.0956,2.6875
DEMONS_ANGELS + ENEMIES_TO_LOVERS,2.27,3.66,4,431,0.5384,0.237
DEMONS_ANGELS + HISTORICAL_ROMANCE,1.86,3.62,6,789,0.8075,0.4339
MYSTERY_THRILLER_SUSPENSE + SMALL_TOWN,1.39,3.56,12,2118,1.6151,1.1648
ENEMIES_TO_LOVERS + FRIENDS_TO_LOVERS,1.52,3.51,9,1445,1.2113,0.7947
FOUND_FAMILY + FRIENDS_TO_LOVERS,1.09,3.46,23,5167,3.0956,2.8415
ROM_COM + SLOW_BURN,2.15,3.46,4,456,0.5384,0.2508
ENEMIES_TO_LOVERS + MYSTERY_THRILLER_SUSPENSE,1.34,3.44,12,2187,1.6151,1.2027
FORBIDDEN_TABOO + SECOND_CHANCE,2.48,3.44,3,296,0.4038,0.1628
HISTORICAL_ROMANCE + WITCHES_MAGIC,1.33,3.41,12,2212,1.6151,1.2165
HISTORICAL_ROMANCE + HORROR,2.44,3.38,3,301,0.4038,0.1655
FRIENDS_TO_LOVERS + ROM_COM,1.15,3.17,15,3206,2.0188,1.7631
DEMONS_ANGELS + FANTASY_ROMANCE,0.93,3.09,27,7121,3.6339,3.9161
DARK_ROMANCE + VAMPIRES,1.48,3.08,7,1158,0.9421,0.6368
TIME_TRAVEL + WITCHES_MAGIC,1.58,3.07,6,930,0.8075,0.5114
ENEMIES_TO_LOVERS + SHIFTER_WEREWOLF,1.66,2.98,5,736,0.6729,0.4048
FANTASY_ROMANCE + VAMPIRES,0.84,2.92,31,9010,4.1723,4.9549
FANTASY_ROMANCE + SCI_FI_ROMANCE,0.86,2.89,28,7987,3.7685,4.3923
