book_title,author,goodreads_url,reviews_count,avg_rating,shelves
False God (Kensingtons: The Next Generation Book 1),C.W. Farnsworth,https://www.goodreads.com/book/show/216184248-false-god,,,
Decked in Red & Greene: A Man of the Month Club Novella,Alexandra Hale,https://www.goodreads.com/book/show/216823470-decked-in-red-greene,,,
Merry with a Brewmaster (Love Beach Brews Book 2),Alexandra Hale,https://www.goodreads.com/book/show/213813183-merry-with-a-brewmaster,,,
"Pucking Road Trip (Bay Rebels, #3)",Rosemary A.  Johns,https://www.goodreads.com/book/show/212381391-pucking-road-trip,,,
It Started with a Book,Camilla Isley,https://www.goodreads.com/book/show/209203155-it-started-with-a-book,,,
Christmas Eve Love Story,Ginny Baird,https://www.goodreads.com/book/show/203751785-christmas-eve-love-story,,,
"Promise Me Not (Boys of Avix, #2)",Meagan Brandy,https://www.goodreads.com/book/show/191411135-promise-me-not,,,
The Candlemaker (The Kinkades #3),Rebecca  Sharp,https://www.goodreads.com/book/show/207706349-the-candlemaker,,,
Unexpectedly Falling (Blackstone Falls #2),Alexandra Hale,https://www.goodreads.com/book/show/213895289-unexpectedly-falling,,,
Clean Point,Meg   Jones,https://www.goodreads.com/book/show/200695049-clean-point,,,
The Wedding Engagement,Zoe Allison,https://www.goodreads.com/book/show/205064697-the-wedding-engagement,,,
"Alpha Varsity (Wolf Ridge High, #5)",Renee Rose,https://www.goodreads.com/book/show/217384825-alpha-varsity,,,
Make My Wish Come True,Rachael Lippincott,https://www.goodreads.com/book/show/207294205-make-my-wish-come-true,,,
The Unwanted Bride (The Lasker Brothers #7),Nadia Lee,https://www.goodreads.com/book/show/200563525-the-unwanted-bride,,,
"Emperor of Rage (Memento Mori, #2)",Jagger Cole,https://www.goodreads.com/book/show/218106323-emperor-of-rage,,,
"Shot to the Hart (Scoring with Love, #1)",Katelyn Snyder,https://www.goodreads.com/book/show/216802117-shot-to-the-hart,,,
Court of Heathens,K.A. Knight,https://www.goodreads.com/book/show/219326494-court-of-heathens,,,
"Priest (Trident Agency, #2)",E.M. Lindsey,https://www.goodreads.com/book/show/201858237-priest,,,
"Father Material (London Calling, #3)",Alexis  Hall,https://www.goodreads.com/book/show/61854803-father-material,,,
Running Alone: Mayhem Makers (Running Series),D.M. Earl,https://www.goodreads.com/book/show/205989144-running-alone,,,
"The Stars Are Dying (Nytefall, #1)",C.C. Peñaranda,https://www.goodreads.com/book/show/63890424-the-stars-are-dying,,,
Hey Girl (Turn It Up #9),Natalie  Parker,https://www.goodreads.com/book/show/219364674-hey-girl,,,
"Throne of Secrets (Prince of Sin, #2)",Kerri Maniscalco,https://www.goodreads.com/book/show/204593559-throne-of-secrets,,,
"The Tryst (Bluegrass Empires, #3)",Sawyer Bennett,https://www.goodreads.com/book/show/216138601-the-tryst,,,
"Shattered Souls (Halston U, #3)",R.A. Smyth,https://www.goodreads.com/book/show/208448318-shattered-souls,,,
"Eternally Devoted (Twisted Sisters, #3)",Daisy Jane,https://www.goodreads.com/book/show/208871773-eternally-devoted,,,
Jenna's Protector (Charlie Team: Guardian Hostage Rescue Specialists #4),Ellie Masters,https://www.goodreads.com/book/show/216731961-jenna-s-protector,,,
Eternally Lost (Shallow Cove Dimensions #4),January Rayne,https://www.goodreads.com/book/show/206204683-eternally-lost,,,
"A Reign of Rose (The Sacred Stones, #3)",Kate  Golden,https://www.goodreads.com/book/show/205064757-a-reign-of-rose,,,
"Nothing Like the Movies (Better Than the Movies, #2)",Lynn Painter,https://www.goodreads.com/book/show/207293948-nothing-like-the-movies,,,
"Bull Moon Rising (Royal Artifactual Guild, #1)",Ruby Dixon,https://www.goodreads.com/book/show/205435930-bull-moon-rising,,,
Strange Beasts,Susan J. Morris,https://www.goodreads.com/book/show/206777707-strange-beasts,,,
The Devil's Thirst,Emrys Apollo,https://www.goodreads.com/book/show/50684097-the-devil-s-thirst,,,
Swordcrossed,Freya Marske,https://www.goodreads.com/book/show/201037223-swordcrossed,,,
Worth The Risk (Flirting with Forever #1),Alexis Winter,https://www.goodreads.com/book/show/217035627-worth-the-risk,,,
Dark Eternity,Nimueh Virago,https://www.goodreads.com/book/show/199957100-dark-eternity,,,
"Deja Brew (Elemental Love, #3)",Celestine Martin,https://www.goodreads.com/book/show/207567787-deja-brew,,,
"Rival Hearts (Little Falls, #1)",W. Million,https://www.goodreads.com/book/show/217864422-rival-hearts,,,
Eight Nights to Win Her Heart,Miri White,https://www.goodreads.com/book/show/205438941-eight-nights-to-win-her-heart,,,
"Stolen Bases: Baseball, Brothers Rival, Secret Romance (The Miller Brothers Book 3)",Leslie  Ann,https://www.goodreads.com/book/show/218138252-stolen-bases,,,
"When He Protects (Protector And Defender Romance, #1)",Cynthia Eden,https://www.goodreads.com/book/show/218439866-when-he-protects,,,
Safe With Me,Stephanie    Rose,https://www.goodreads.com/book/show/220104225-safe-with-me,,,
