book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
"The Bully (Calamity Montana, #4)",Willa Nash,https://www.goodreads.com/book/show/58312432-the-bully,1575.0,4.01,"{""enemies to lovers"": null, ""romance"": null, ""small town romance"": null, ""contemporary romance"": null, ""sports"": null, ""contemporary"": null, ""sports romance"": null, ""audiobook"": null, ""second chance"": null, ""forced proximity"": null}",2026-03-21,success
Bet on It,Jodie Slaughter,https://www.goodreads.com/book/show/56793220-bet-on-it,2058.0,3.53,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""audiobook"": null, ""mental health"": null, ""adult"": null, ""chick lit"": null, ""friends to lovers"": null, ""rom com"": null}",2026-03-21,success
Sadie on a Plate,Amanda Elliot,https://www.goodreads.com/book/show/58395057-sadie-on-a-plate,933.0,3.72,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""adult"": null, ""audiobook"": null, ""jewish"": null, ""food"": null, ""rom com"": null, ""chick lit"": null}",2026-03-21,success
Nora Goes Off Script,Annabel Monaghan,https://www.goodreads.com/book/show/58988426-nora-goes-off-script,27127.0,4.05,"{""romance"": null, ""fiction"": null, ""audiobook"": null, ""contemporary"": null, ""chick lit"": null, ""contemporary romance"": null, ""adult"": null, ""book club"": null, ""rom com"": null, ""summer"": null}",2026-03-21,success
"American Royalty (American Royalty, #1)",Tracey Livesay,https://www.goodreads.com/book/show/58986617-american-royalty,1332.0,3.65,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""fiction"": null, ""audiobook"": null, ""royalty"": null, ""adult"": null, ""interracial romance"": null, ""forced proximity"": null, ""adult fiction"": null}",2026-03-21,success
"The Damaged (The Insiders Trilogy, #2)",Tijan,https://www.goodreads.com/book/show/57693291-the-damaged,622.0,4.3,"{""romance"": null, ""new adult"": null, ""contemporary"": null, ""contemporary romance"": null, ""suspense"": null, ""romantic suspense"": null, ""audiobook"": null, ""college"": null, ""dark"": null, ""dark romance"": null}",2026-03-21,success
Lucky Leap Day,Ann Marie Walker,https://www.goodreads.com/book/show/57822085-lucky-leap-day,788.0,3.48,"{""romance"": null, ""contemporary"": null, ""audiobook"": null, ""chick lit"": null, ""fiction"": null, ""contemporary romance"": null, ""adult"": null, ""rom com"": null, ""ireland"": null, ""forced proximity"": null}",2026-03-21,success
The Accidental Pinup (Buxom Boudoir #1),Danielle  Jackson,https://www.goodreads.com/book/show/59743446-the-accidental-pinup,744.0,3.29,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""adult"": null, ""fiction"": null, ""enemies to lovers"": null, ""plus size"": null, ""rom com"": null, ""chick lit"": null}",2026-03-21,success
When You Get the Chance,Emma Lord,https://www.goodreads.com/book/show/54306966-when-you-get-the-chance,2716.0,3.86,"{""romance"": null, ""young adult"": null, ""contemporary"": null, ""audiobook"": null, ""fiction"": null, ""enemies to lovers"": null, ""young adult contemporary"": null, ""young adult romance"": null, ""realistic fiction"": null, ""family"": null}",2026-03-21,success
Every Summer After,Carley Fortune,https://www.goodreads.com/book/show/58014893-every-summer-after,87156.0,4.17,"{""romance"": null, ""summer"": null, ""fiction"": null, ""summer reads"": null, ""contemporary"": null, ""audiobook"": null, ""friends to lovers"": null, ""contemporary romance"": null, ""book club"": null, ""second chance"": null}",2026-03-21,success
"Booked on a Feeling (A Sweet Mess, #3)",Jayci Lee,https://www.goodreads.com/book/show/58724787-booked-on-a-feeling,2320.0,3.31,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""friends to lovers"": null, ""audiobook"": null, ""adult"": null, ""chick lit"": null, ""rom com"": null, ""books about books"": null}",2026-03-21,success
"For You & No One Else (Say Everything, #3)",Roni Loren,https://www.goodreads.com/book/show/59148035-for-you-no-one-else,,,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""friends to lovers"": null, ""fiction"": null, ""adult"": null, ""mental health"": null, ""workplace romance"": null, ""chick lit"": null}",2026-03-21,success
The Wedding Season,Katy Birchall,https://www.goodreads.com/book/show/58725029-the-wedding-season,1561.0,3.95,"{""romance"": null, ""contemporary"": null, ""chick lit"": null, ""fiction"": null, ""audiobook"": null, ""contemporary romance"": null, ""adult"": null, ""rom com"": null, ""humor"": null, ""womens fiction"": null}",2026-03-21,success
"Never Been Kissed (Boy Meets Boy, #1)",Timothy Janovsky,https://www.goodreads.com/book/show/57352258-never-been-kissed,1533.0,3.66,"{""romance"": null, ""lgbt"": null, ""queer"": null, ""contemporary"": null, ""young adult"": null, ""new adult"": null, ""audiobook"": null, ""fiction"": null, ""m m romance"": null, ""adult"": null}",2026-03-21,success
The Romantic Agenda,Claire Kann,https://www.goodreads.com/book/show/57484132-the-romantic-agenda,,,"{""romance"": null, ""contemporary"": null, ""lgbt"": null, ""queer"": null, ""fiction"": null, ""adult"": null, ""audiobook"": null, ""contemporary romance"": null, ""fake dating"": null, ""asexual"": null}",2026-03-21,success
As Seen On TV,Meredith Schorr,https://www.goodreads.com/book/show/55026703-as-seen-on-tv,,,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""adult"": null, ""chick lit"": null, ""audiobook"": null, ""rom com"": null, ""jewish"": null, ""adult fiction"": null}",2026-03-21,success
"Shattered Princess (Hardin Hellhounds, #1)",Amber Vant,https://www.goodreads.com/book/show/59729528-shattered-princess,174.0,3.75,"{""romance"": null, ""enemies to lovers"": null, ""high school"": null, ""dark romance"": null, ""new adult"": null, ""dark"": null, ""contemporary"": null, ""sports"": null, ""sports romance"": null, ""contemporary romance"": null}",2026-03-21,success
"Before I Let Go (Skyland, #1)",Kennedy Ryan,https://www.goodreads.com/book/show/60568471-before-i-let-go,19879.0,4.32,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""second chance"": null, ""contemporary romance"": null, ""audiobook"": null, ""second chance romance"": null, ""book club"": null, ""adult"": null, ""mental health"": null}",2026-03-21,success
