book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
"Exhale (Flesh and Bone, #1)",Joel Abernathy,https://www.goodreads.com/book/show/39678549-exhale,645.0,4.04,"{""m m romance"": null, ""paranormal"": null, ""shapeshifters"": null, ""enemies to lovers"": null, ""fantasy"": null, ""romance"": null, ""werewolves"": null, ""omegaverse"": null, ""dark"": null, ""lgbt"": null}",2026-03-21,success
Jesse's Smile,Angelique Jurd,https://www.goodreads.com/book/show/39692883-jesse-s-smile,,,"{""m m romance"": null, ""disability"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""autistic spectrum disorder"": null, ""mental health"": null, ""mental illness"": null, ""gay"": null, ""friends to lovers"": null}",2026-03-21,success
Sinfully Mine,Nicky James,https://www.goodreads.com/book/show/41442361-sinfully-mine,319.0,3.86,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""erotica"": null, ""bdsm"": null, ""slow burn"": null, ""dark"": null, ""forbidden romance"": null, ""adult"": null}",2026-03-21,success
"Blackbird in the Reeds (The Rowan Harbor Cycle, #1)",Sam Burns,https://www.goodreads.com/book/show/37777178-blackbird-in-the-reeds,306.0,3.8,"{""paranormal"": null, ""fantasy"": null, ""m m romance"": null, ""romance"": null, ""shapeshifters"": null, ""audiobook"": null, ""magic"": null, ""urban fantasy"": null, ""mystery"": null, ""lgbt"": null}",2026-03-21,success
Honeymoon for One,Keira Andrews,https://www.goodreads.com/book/show/41823691-honeymoon-for-one,1170.0,4.06,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""audiobook"": null, ""lgbt"": null, ""disability"": null, ""friends to lovers"": null, ""slow burn"": null, ""contemporary romance"": null, ""queer"": null}",2026-03-21,success
"Fresh Catch (Talbott’s Cove, #1)",Kate Canterbary,https://www.goodreads.com/book/show/35919933-fresh-catch,583.0,4.0,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""lgbt"": null, ""forced proximity"": null, ""steamy"": null, ""fiction"": null, ""adult"": null}",2026-03-21,success
"Bond (Forbidden Desires, #2)",Piper Scott,https://www.goodreads.com/book/show/42760781-bond,510.0,4.26,"{""m m romance"": null, ""omegaverse"": null, ""dragons"": null, ""fantasy"": null, ""romance"": null, ""shapeshifters"": null, ""paranormal"": null, ""audiobook"": null, ""magic"": null, ""humor"": null}",2026-03-21,success
"Clutch (Forbidden Desires, #1)",Piper Scott,https://www.goodreads.com/book/show/42035847-clutch,,,"{""m m romance"": null, ""omegaverse"": null, ""paranormal"": null, ""fantasy"": null, ""dragons"": null, ""romance"": null, ""shapeshifters"": null, ""audiobook"": null, ""lgbt"": null, ""contemporary"": null}",2026-03-21,success
"Escaping Exile (Escape Trilogy, #1)",Sara Dobie Bauer,https://www.goodreads.com/book/show/40794384-escaping-exile,87.0,3.9,"{""vampires"": null, ""historical"": null, ""m m romance"": null, ""paranormal"": null, ""fantasy"": null, ""romance"": null, ""novella"": null, ""gay"": null, ""lgbt"": null, ""bisexual"": null}",2026-03-21,success
"Changed: Mated to the Alien Alpha (The Omega Colony, #1)",Robin Moray,https://www.goodreads.com/book/show/40662826-changed,401.0,4.0,"{""m m romance"": null, ""omegaverse"": null, ""aliens"": null, ""science fiction"": null, ""romance"": null, ""fantasy"": null, ""paranormal"": null, ""lgbt"": null, ""erotica"": null, ""science fiction romance"": null}",2026-03-21,success
Center of Gravity (Nook Island #1),Neve Wilder,https://www.goodreads.com/book/show/41869103-center-of-gravity,217.0,4.19,"{""m m romance"": null, ""romance"": null, ""lgbt"": null, ""contemporary"": null, ""slow burn"": null, ""queer"": null, ""grief"": null, ""m m contemporary"": null, ""fiction"": null, ""contemporary romance"": null}",2026-03-21,success
Edge of Forever,Barbara Elsborg,https://www.goodreads.com/book/show/40055953-edge-of-forever,244.0,4.19,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""westerns"": null, ""abuse"": null, ""humor"": null, ""lgbt"": null, ""contemporary romance"": null, ""forced proximity"": null, ""enemies to lovers"": null}",2026-03-21,success
"Invitation to the Blues (Small Change, #2)",Roan Parrish,https://www.goodreads.com/book/show/38510053-invitation-to-the-blues,342.0,4.2,"{""romance"": null, ""m m romance"": null, ""contemporary"": null, ""audiobook"": null, ""lgbt"": null, ""mental health"": null, ""contemporary romance"": null, ""music"": null, ""mental illness"": null, ""queer"": null}",2026-03-21,success
Unfit to Print,K.J. Charles,https://www.goodreads.com/book/show/39330140-unfit-to-print,675.0,3.94,"{""romance"": null, ""historical"": null, ""historical fiction"": null, ""m m romance"": null, ""queer"": null, ""lgbt"": null, ""historical romance"": null, ""mystery"": null, ""novella"": null, ""fiction"": null}",2026-03-21,success
"Sin and Tonic (Sinners, #6)",Rhys Ford,https://www.goodreads.com/book/show/35491768-sin-and-tonic,188.0,4.46,"{""m m romance"": null, ""contemporary"": null, ""romance"": null, ""mystery"": null, ""audiobook"": null, ""music"": null, ""suspense"": null, ""lgbt"": null, ""crime"": null, ""musicians"": null}",2026-03-21,success
"Syncopation (Twisted Wishes, #1)",Anna Zabo,https://www.goodreads.com/book/show/37648566-syncopation,,,"{""romance"": null, ""m m romance"": null, ""bdsm"": null, ""contemporary"": null, ""lgbt"": null, ""music"": null, ""queer"": null, ""contemporary romance"": null, ""audiobook"": null, ""musicians"": null}",2026-03-21,success
Band Sinister,K.J. Charles,https://www.goodreads.com/book/show/39345944-band-sinister,1397.0,4.22,"{""romance"": null, ""historical"": null, ""historical fiction"": null, ""historical romance"": null, ""lgbt"": null, ""m m romance"": null, ""queer"": null, ""audiobook"": null, ""fiction"": null, ""regency"": null}",2026-03-21,success
"Terms of Service (The Heretic Doms Club, #2)",Marie Sexton,https://www.goodreads.com/book/show/39847286-terms-of-service,263.0,4.16,"{""bdsm"": null, ""m m romance"": null, ""contemporary"": null, ""romance"": null, ""lgbt"": null, ""erotica"": null, ""audiobook"": null, ""contemporary romance"": null, ""m m contemporary"": null, ""fiction"": null}",2026-03-21,success
"Expeditions, Estimation, and Other Dangerous Pastimes (Claimings, #4)",Lyn Gala,https://www.goodreads.com/book/show/36602760-expeditions-estimation-and-other-dangerous-pastimes,184.0,4.23,"{""science fiction"": null, ""m m romance"": null, ""aliens"": null, ""romance"": null, ""bdsm"": null, ""audiobook"": null, ""lgbt"": null, ""fantasy"": null, ""fiction"": null, ""m m science fiction"": null}",2026-03-21,success
"Bobby Green (Johnnies, #5)",Amy Lane,https://www.goodreads.com/book/show/36594567-bobby-green,112.0,4.25,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""friends to lovers"": null, ""audiobook"": null, ""abuse"": null, ""disability"": null, ""lgbt"": null, ""family"": null, ""pornography"": null}",2026-03-21,success
"Soul to Keep (Rented Heart, #2)",Garrett Leigh,https://www.goodreads.com/book/show/36291180-soul-to-keep,223.0,4.03,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""military fiction"": null, ""lgbt"": null, ""disability"": null, ""addiction"": null, ""contemporary romance"": null, ""queer"": null, ""british literature"": null}",2026-03-21,success
His Surrogate Omega (Omega Quadrant #1),Kelex,https://www.goodreads.com/book/show/43251078-his-surrogate-omega,,,"{""omegaverse"": null, ""m m romance"": null, ""romance"": null, ""fantasy"": null, ""paranormal"": null, ""lgbt"": null, ""emotional"": null, ""contemporary"": null, ""queer"": null, ""slow burn"": null}",2026-03-21,success
"Damaged Like Us (Like Us, #1)",Krista Ritchie,https://www.goodreads.com/book/show/21427834-damaged-like-us,3149.0,3.95,"{""romance"": null, ""m m romance"": null, ""contemporary"": null, ""new adult"": null, ""lgbt"": null, ""contemporary romance"": null, ""audiobook"": null, ""adult"": null, ""queer"": null, ""fiction"": null}",2026-03-21,success
"The Blueprint (Rules of Possession, #1)",S.E. Harmon,https://www.goodreads.com/book/show/38504190-the-blueprint,962.0,3.81,"{""m m romance"": null, ""sports"": null, ""friends to lovers"": null, ""romance"": null, ""contemporary"": null, ""sports romance"": null, ""audiobook"": null, ""lgbt"": null, ""football"": null, ""gay for you"": null}",2026-03-21,success
"Professor Adorkable (Domesticated Inc, #1)",Edie Danford,https://www.goodreads.com/book/show/41355524-professor-adorkable,107.0,3.75,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""friends to lovers"": null, ""lgbt"": null, ""contemporary romance"": null, ""geek"": null, ""gay"": null, ""adult"": null, ""teachers"": null}",2026-03-21,success
Any Given Lifetime,Leta Blake,https://www.goodreads.com/book/show/41733251-any-given-lifetime,438.0,4.09,"{""m m romance"": null, ""paranormal"": null, ""romance"": null, ""contemporary"": null, ""second chance"": null, ""fantasy"": null, ""lgbt"": null, ""science fiction"": null, ""audiobook"": null, ""slow burn"": null}",2026-03-21,success
"Power Play (Camassia Cove, #7)",Cara Dee,https://www.goodreads.com/book/show/37844337-power-play,526.0,3.98,"{""m m romance"": null, ""bdsm"": null, ""romance"": null, ""sports"": null, ""contemporary"": null, ""friends to lovers"": null, ""hockey"": null, ""lgbt"": null, ""gay"": null, ""mental health"": null}",2026-03-21,success
A Twisted Love Story,Ace Gray,https://www.goodreads.com/book/show/35082570-a-twisted-love-story,76.0,4.44,"{""dark"": null, ""dark romance"": null, ""m m romance"": null, ""menage"": null, ""romance"": null, ""lgbt"": null}",2026-03-21,success
The Truth Within (Pelican Bay #3),Sloane Kennedy,https://www.goodreads.com/book/show/42301687-the-truth-within,,,"{""m m romance"": null, ""romance"": null, ""abuse"": null, ""contemporary"": null, ""lgbt"": null, ""audiobook"": null, ""gay"": null, ""m m contemporary"": null, ""fiction"": null, ""adult"": null}",2026-03-21,success
Gray's Shadow (Kings of Hell MC #4),K.A. Merikan,https://www.goodreads.com/book/show/41052468-gray-s-shadow,205.0,4.15,"{""m m romance"": null, ""paranormal"": null, ""romance"": null, ""fantasy"": null, ""audiobook"": null, ""dark"": null, ""lgbt"": null, ""demons"": null, ""enemies to lovers"": null, ""dark romance"": null}",2026-03-21,success
Sub Mission (Sub Mission #1),T.S. McKinney,https://www.goodreads.com/book/show/40215635-sub-mission,199.0,4.0,"{""bdsm"": null, ""m m romance"": null, ""romance"": null, ""contemporary"": null, ""erotica"": null, ""gay for you"": null, ""crime"": null, ""lgbt"": null, ""mystery"": null, ""contemporary romance"": null}",2026-03-21,success
Perfect Day (New Milton #1),Sally Malcolm,https://www.goodreads.com/book/show/39777839-perfect-day,221.0,4.03,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""second chance"": null, ""contemporary romance"": null, ""fiction"": null, ""retellings"": null, ""slow burn"": null, ""queer"": null}",2026-03-21,success
Love Around the Corner (New Milton #1.5),Sally Malcolm,https://www.goodreads.com/book/show/42779749-love-around-the-corner,256.0,3.85,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""christmas"": null, ""enemies to lovers"": null, ""holiday"": null, ""lgbt"": null, ""novella"": null, ""contemporary romance"": null, ""fiction"": null}",2026-03-21,success
Vanilla Clouds,Roe Horvat,https://www.goodreads.com/book/show/40699859-vanilla-clouds,493.0,3.9,"{""m m romance"": null, ""contemporary"": null, ""romance"": null, ""friends to lovers"": null, ""lgbt"": null, ""novella"": null, ""audiobook"": null, ""contemporary romance"": null, ""fiction"": null, ""queer"": null}",2026-03-21,success
Conflicted,Katze Snow,https://www.goodreads.com/book/show/40188407-conflicted,,,"{""dark"": null, ""m m romance"": null, ""abuse"": null, ""bdsm"": null, ""contemporary"": null, ""romance"": null, ""dark romance"": null, ""erotica"": null, ""lgbt"": null, ""horror"": null}",2026-03-21,success
"Bleed (Flesh and Bone, #2)",Joel Abernathy,https://www.goodreads.com/book/show/39987796-bleed,218.0,4.01,"{""m m romance"": null, ""paranormal"": null, ""shapeshifters"": null, ""romance"": null, ""friends to lovers"": null, ""fantasy"": null, ""werewolves"": null, ""lgbt"": null, ""abuse"": null, ""dark"": null}",2026-03-21,success
