book_title,author,goodreads_url,reviews_count,avg_rating,shelves
First Comes Love: Omnibus Edition Books 1-3,Camilla Isley,https://www.goodreads.com/book/show/45865308-first-comes-love,,,
"You've Been Volunteered (Class Mom, #2)",Laurie Gelman,https://www.goodreads.com/book/show/42298087-you-ve-been-volunteered,,,
"A Prince on Paper (Reluctant Royals, #3)",Alyssa Cole,https://www.goodreads.com/book/show/38622940-a-prince-on-paper,,,
The Stopover (The Miles High Club #1),T.L. Swan,https://www.goodreads.com/book/show/45156972-the-stopover,,,
"Cold Heart, Warm Cowboy (Cold River Ranch, #2)",Caitlin Crews,https://www.goodreads.com/book/show/41150400-cold-heart-warm-cowboy,,,
The Giver of Stars,Jojo Moyes,https://www.goodreads.com/book/show/43925876-the-giver-of-stars,,,
"The Trouble with Cowboys (Wishing River, #1)",Victoria  James,https://www.goodreads.com/book/show/40045980-the-trouble-with-cowboys,,,
"The Real Thing (Sugar Lake, #1)",Melissa Foster,https://www.goodreads.com/book/show/34092384-the-real-thing,,,
The Best Thing,Mariana Zapata,https://www.goodreads.com/book/show/51045313-the-best-thing,,,
That's What Frenemies Are For,Sophie Littlefield,https://www.goodreads.com/book/show/43152815-that-s-what-frenemies-are-for,,,
The Dating Charade,Melissa    Ferguson,https://www.goodreads.com/book/show/44441993-the-dating-charade,,,
"Coming Up Roses (Bennet Brothers, #1)",Staci Hart,https://www.goodreads.com/book/show/48753068-coming-up-roses,,,
The Price of Scandal,Lucy Score,https://www.goodreads.com/book/show/51079724-the-price-of-scandal,,,
The Next to Last Mistake,Amalie Jahn,https://www.goodreads.com/book/show/38896061-the-next-to-last-mistake,,,
On the Come Up,Angie Thomas,https://www.goodreads.com/book/show/35068618-on-the-come-up,,,
"Passion and Ink (Sweetest Taboo, #2)",Naima Simone,https://www.goodreads.com/book/show/43602151-passion-and-ink,,,
Dirty Letters,Vi Keeland,https://www.goodreads.com/book/show/45943837-dirty-letters,,,
"My Fake Rake (Union of the Rakes, #1)",Eva Leigh,https://www.goodreads.com/book/show/42872108-my-fake-rake,,,
Moti on the Water,Leylah Attar,https://www.goodreads.com/book/show/50837889-moti-on-the-water,,,
Fake It Till You Break It,Jenn P. Nguyen,https://www.goodreads.com/book/show/40848323-fake-it-till-you-break-it,,,
The Dating Game,Kiley Roache,https://www.goodreads.com/book/show/40212098-the-dating-game,,,
"Fame, Fate, and the First Kiss",Kasie West,https://www.goodreads.com/book/show/40139204-fame-fate-and-the-first-kiss,,,
How to Blackmail a Highlander,Michelle McLean,https://www.goodreads.com/book/show/42967886-how-to-blackmail-a-highlander,,,
"A Lie for a Lie (All In, #1)",Helena Hunting,https://www.goodreads.com/book/show/44776456-a-lie-for-a-lie,,,
