book_title,author,goodreads_url,reviews_count,avg_rating,shelves
"More Than Enough (Pelican Bay, #4)",Sloane Kennedy,https://www.goodreads.com/book/show/60475980-more-than-enough,,,
"Found (Balance, #4)",Lisa Oliver,https://www.goodreads.com/book/show/60177458-found,,,
"Marked: Myron (The Foster Brothers, #0.5)",Nora Phoenix,https://www.goodreads.com/book/show/59994566-marked,,,
"The Servant and the Gentleman (Society of Beasts, #3)",Annabelle Greene,https://www.goodreads.com/book/show/60099638-the-servant-and-the-gentleman,,,
"Marriage Is Murder (Sawyer and Royce: Matrimony and Mayhem, #2)",Aimee Nicole Walker,https://www.goodreads.com/book/show/59989450-marriage-is-murder,,,
Force (Lunar Wolves #3),Kiki Burrelli,https://www.goodreads.com/book/show/61880778-force,,,
"Lure (A Hitman's Bait, #1)",Gianni Holmes,https://www.goodreads.com/book/show/60523083-lure,,,
"Cosmo and the King (Hellhound Champions, #4.5)",Macy Blake,https://www.goodreads.com/book/show/59994945-cosmo-and-the-king,,,
Fox Recruits a Mute Boy [And Falls in Love] (Murder Sprees and Mute Decrees #1.5),Jennifer Cody,https://www.goodreads.com/book/show/61330867-fox-recruits-a-mute-boy-and-falls-in-love,,,
Solo (Primal Sin #3.5),Ariana Nash,https://www.goodreads.com/book/show/61050489-solo,,,
It's Not Unusual to Be Loved by an Alien (Tentacular Tales #1),Chloe  Archer,https://www.goodreads.com/book/show/61989826-it-s-not-unusual-to-be-loved-by-an-alien,,,
The Real Deal (Palm Island #0.5),K.M. Neuhold,https://www.goodreads.com/book/show/59995279-the-real-deal,,,
Until His Last Goodbye (Scythe #1),Kiki Clark,https://www.goodreads.com/book/show/58977679-until-his-last-goodbye,,,
"Making Waves (Franklin U, #7)",Christina  Lee,https://www.goodreads.com/book/show/61367933-making-waves,,,
"Shaun's Salvation (Maine Men, #5)",K.C. Wells,https://www.goodreads.com/book/show/59487952-shaun-s-salvation,,,
"Sidelined (LSU, #2)",Becca Steele,https://www.goodreads.com/book/show/60902436-sidelined,,,
Bite Me! - You Know I Like It (Spooky Boys #1),Fae Quin,https://www.goodreads.com/book/show/62023304-bite-me---you-know-i-like-it,,,
"Bad Bishop (Perfect Play, #2)",Layla Reyne,https://www.goodreads.com/book/show/61278221-bad-bishop,,,
Forgive Me Father (Rebel Kings MC #3),Garrett Leigh,https://www.goodreads.com/book/show/61291524-forgive-me-father,,,
"Dead Serious Case #2: Mrs Delores Abernathy (Crawshanks Guide to the Recently Departed, #2)",Vawn Cassidy,https://www.goodreads.com/book/show/62685184-dead-serious-case-2,,,
"Attraction (Mobsters + Billionaires, #3)",Kelly  Fox,https://www.goodreads.com/book/show/61397110-attraction,,,
"His Fresh Start Cowboy (Woods Ranch, #1)",A.M. Arthur,https://www.goodreads.com/book/show/58422310-his-fresh-start-cowboy,,,
Attractive Forces,Jax Calder,https://www.goodreads.com/book/show/62685070-attractive-forces,,,
"Crown Court Killer (London Podcast Mystery, #3)",Dahlia Donovan,https://www.goodreads.com/book/show/60156232-crown-court-killer,,,
"To Not Marry My Enemy (The Simple Rules, #3)",Gianni Holmes,https://www.goodreads.com/book/show/60403119-to-not-marry-my-enemy,,,
"The Diplomat's Bride (Treaty Brides, #2)",Samantha Cayto,https://www.goodreads.com/book/show/61033634-the-diplomat-s-bride,,,
Love and History (The Script Club #6),Lane Hayes,https://www.goodreads.com/book/show/61976790-love-and-history,,,
Don't STAHP Me Now (STAHP #3),Susi Hawke,https://www.goodreads.com/book/show/60675250-don-t-stahp-me-now,,,
Saving Ziggy (Liverpool Boys #1),Alex J. Adams,https://www.goodreads.com/book/show/59715970-saving-ziggy,,,
A Mage's Guide to Human Familiars (R'iyah Family Archives #1),A.J. Sherwood,https://www.goodreads.com/book/show/59004681-a-mage-s-guide-to-human-familiars,,,
Just Say When,Aimee Nicole Walker,https://www.goodreads.com/book/show/61411514-just-say-when,,,
Baby and the Warrior (Shifter Rescue #4),Victoria Sue,https://www.goodreads.com/book/show/60221158-baby-and-the-warrior,,,
